,Unnamed: 0,key_phrases,review_polarity
25,25,"[' Quick bag drop', 'First Wing', 'too many passengers', 'fast track security', 'main terminal', 'Direct entry', 'Concorde room', 'security south', 'excellent breakfast', 'which', 'Concorde room', 'a nice place', 'a flight', 'some interesting memorabilia', 'an excellent bar', 'Boarding', 'c gates', 'board cabin crew', 'Good choice', 'beverages', 'these', 'high quality', 'Food', 'Seat', 'No first bedding', 'time arrival', 'Miami', 'Baggage', '1 hour']","{'neg': 0.034, 'neu': 0.645, 'pos': 0.321, 'compound': 0.9908}"
26,26,"['takeoff', 'we', 'a Mail', 'a cryptic message', 'disruptions', 'a limit', 'how many planes', 'the same time', 'the capacity', 'the Heathrow Airport', 'British Airways', 'surprise', 'departure', 'we', 'the one hour delay', 'we', 'our Hand luggage', 'I', 'hand luggage', 'the ultra slow processing', 'luggage', 'home', 'really no reason', 'incompetent people', 'Service level', 'Thanks', 'nothing']","{'neg': 0.185, 'neu': 0.744, 'pos': 0.071, 'compound': -0.9342}"
27,27,"['I', 'a delay', 'British Airways', 'BRU', 'LHR', 'that', 'staff shortages', 'They', 'a 2 hour holding delay', 'they', 'us', 'hopes', 'the gate', 'We', 'the full 2 hours', 'the airplane', 'The plane', 'no power', 'the seats', 'The staff', 'a small bag', 'pretzels', '250ml', 'water', 'the passengers', '2 hour delay', '2 hour flight', 'no options', 'food', 'drink', 'no entertainment options', 'I', 'a OneWorld emerald elite member', 'they', 'members', 'status', 'First class lounges', 'Heathrow', 'The help desk', 'an error', 'delays', 'cancellations', 'the top status', 'The Avios points system', 'worthlessness', 'fees', 'reward', 'that', 'the price', 'the revenue ticket', 'its way', 'recent years', 'a world-class airline', 'a budget airline', 'much worse service', 'timeliness', 'Ryanair', 'EasyJet']","{'neg': 0.136, 'neu': 0.783, 'pos': 0.081, 'compound': -0.85}"
29,29,"['the flight', 'we', 'BA', 'it', 'us', 'rebook', 'flights', 'our original flight', 'they', 'us', 'Our original ticket', 'the return flight', 'a checked bag', 'we', 'Heathrow', 'we', 'our ticket', 'a bag', 'we', '75 pounds', 'each', 'them', 'We', 'the original ticket', 'the bags', 'they', 'the system', 'they', 'it', 'but not this one', 'They', 'no effort', 'it', 'us', 'they', 'us', 'the flight', 'we', 'no choice', 'it', 'a refund', 'we', 'a penny', 'Every time', 'I', 'my refund', 'we', 'I', 'an inane email', 'some departments', 'others', 'Absolutely hopeless airline', 'the booking', 'the first place', 'even worse customer service', 'the problem', 'check', 'they', 'the mistake', 'THEY', 'their system', 'a very simple claim', 'me', '150 pounds', '15 months']","{'neg': 0.102, 'neu': 0.833, 'pos': 0.066, 'compound': -0.8327}"
31,31,"[' Booked', 'Bucharest', 'Manchester', 'a 2h 45’ layover', 'Heathrow', 'Flight', 'Bucharest', 'ATC strike', 'Heathrow', 'enough time', 'my connecting flight', 'we', 'the plane', 'a very long time', 'the plane', 'lack', 'staff', 'slot shortage', 'it', 'a common problem', 'BA', 'Heathrow', 'I', 'my connecting flight', 'their delays', 'they', 'me', 'I', 'a freezing airport', 'the first flight', 'just a shameful 10£ food voucher', 'which', 'a joke', 'the ridiculous prices', 'LHR', 'No accommodation', 'a very cold airport', 'I', 'compensation', 'they', 'me', 'a long text', 'the same lame excuses', 'they', 'they', 'anything', 'I', 'a worst airline', 'BA', 'customer care', 'It', 'money', 'the way', 'they', 'customers', 'It', 'the last time', 'my lifetime', 'I', 'this joke', 'an airline']","{'neg': 0.126, 'neu': 0.815, 'pos': 0.059, 'compound': -0.7269}"
32,32,"['the only hitch', 'replacement aircraft', 'chosen seats', 'I', 'this', 'departure', 'Bag drop', 'MAN T3', 'I', 'that', 'MAN fault', 'Shuttle boarding', 'a rush', 'LHR T5', 'The flight', 'CPT', 'we', 'time', 'The cabin', 'PE', 'what', 'we', 'a few little perks', 'drinks', 'Only complaint', 'the seats', 'Staff', 'the first few hours', 'service', 'especially George', 'Food', 'one option', 'Breakfast', 'we', 'time', 'The fly', 'the ointment', 'both our cases', 'the carousel', 'we', 'both', 'CPT', 'all a pleasant surprise']","{'neg': 0.08, 'neu': 0.825, 'pos': 0.096, 'compound': 0.5956}"
33,33,"[' The flight', 'time', 'The crew', 'It', 'the same story', 'my outward flight', 'I', 'BA', 'Europe', 'I', 'they', 'Prosecco', 'Champagne', 'the list', 'drinks', 'you', 'economy', 'So many complaints', 'BA', 'other airlines', 'lost luggage', 'that', 'I', 'bags', 'long trips']","{'neg': 0.104, 'neu': 0.785, 'pos': 0.111, 'compound': 0.1315}"
35,35,"['an infrequent flyer', 'British Airways', 'my first choice', 'some reassurance', 'comfort', 'service', 'quality, luggage allowance', 'fact', 'I', 'the budget airlines', 'My most recent flight', 'my view', 'me', 'what', 'I', 'my money', 'BA', 'what', 'they', 'the flights', 'the cabin and ground staff service', 'It', 'the facilities', 'lack', 'I', 'The flight', 'Approx 4 and a half hours', 'the only thing', 'a half cup', 'water', 'that', 'cake', 'fact', 'my return journey', 'I', 'the water', 'it', 'BA', 'a media screen', 'which', 'you', 'something', 'the time', 'even the obligatory flight journey', 'The WiFi', 'I', 'the shop', 'a fee', 'This', 'BAs record profit', 'the question', 'what', 'I', 'I', 'sure opt', 'the budget airlines', 'They', 'what', 'they', 'what', 'you', 'which', 'I', 'BA', 'Basic Airways', 'I']","{'neg': 0.058, 'neu': 0.885, 'pos': 0.057, 'compound': -0.0989}"
37,37,"['Ground crew', 'Heathrow', '60 passengers luggage', 'We', '3 bags', 'The Heathrow ground crew', 'ours', 'The Heathrow ground crew', 'our 3rd bag', 'we', 'the phone', 'them', 'over 3 hrs', 'the course', 'the week', 'this', 'we', 'health and beauty items', 'my wife', 'our cruise', 'British Airways', 'they', '3 months', 'We', 'cab fare', 'Barcelona', 'the Bacelona ground crew', 'Iberia', 'they', 'it', 'us', 'Heathrow ground crew', 'us', 'Heathrow', 'our cruise', 'We', 'those incompetent people', 'us', 'The Heathrow ground crew', 'us', 'ALL passengers', 'the departure time', 'This', 'we', 'our connection', 'Anchorage', 'BA', 'a ground base', 'BA', 'a joke', 'they', 'a normal airline', 'They', 'the concept', 'even a small hiccup', 'mass ripples', 'chaos', 'other people']","{'neg': 0.117, 'neu': 0.848, 'pos': 0.035, 'compound': -0.96}"
38,38,"[' London Heathrow', 'Gibraltar', '24th October', 'I', 'reference', 'the booking process', 'I', 'the BA website', 'the seat', 'food', 'the website', 'every aspect', 'The flight', 'terminal', 'the passengers', 'a good 15 minutes', 'a different part', 'the airport', 'the aircraft', 'a stand', 'the flight', 'the cabin-crew', 'a very low profile', 'this', 'the entire flight', 'The captain', '3 brief announcements', 'the flight', 'flight', 'The seats', 'a short flight', 'The lack', 'catering', 'a tiny bottle', 'water', 'an inedible “breakfast bar', 'one', 'an online system', 'even a drink', 'course', 'it', 'The passengers', 'me', 'the online system', 'it', 'the cabin', 'them', 'a coffee', 'this fault', 'the USB charge points', 'the early hour', 'the flight', 'it', 'a poor show', 'sale items', 'a trolley service', 'The system BA', 'place', 'The flight', 'time', 'The disembarkation', 'the crew', 'The crew', 'the new BA uniform', 'it', 'a downward trend', 'the airline', 'any difference', 'this BA service', 'that', 'so-called “budget” rivals', 'this route BA', 'a monopoly', 'I', 'an option', 'the services', 'a different company']","{'neg': 0.067, 'neu': 0.861, 'pos': 0.072, 'compound': 0.3763}"
